# NHTSA vPIC World Manufacturer Identifier table, retrieved 2026-09-21.
# Regenerate with: go run ./tools/wmi-import
# Left out because they cannot appear in a VIN: 1OY, 4OG
wmi,manufacturer_id,manufacturer,make,vehicle_type,country
1A9463,17377,"ARGO FAB, INC",,Trailer,UNITED STATES (USA)
1A9469,4852,ALLISON DUMP BODIES & TRAILERS,,Trailer,UNITED STATES (USA)
1A9471,5065,ADIRONDACK KOTTAGES,,Trailer,UNITED STATES (USA)
1A9477,2200,ALUMAX TRAILERS,,Trailer,UNITED STATES (USA)
1A9480,13095,AEROSWINT TRAILERS,,Trailer,UNITED STATES (USA)
1A9482,4520,AL-JON MANUFACTURING LLC,,Trailer,UNITED STATES (USA)
1A9493,5186,AMERICAN WELDING SERVICE INC.,,Trailer,UNITED STATES (USA)
1A9494,1261,AMERICAN MOTORCYCLE CORPORATION,,Motorcycle,UNITED STATES (USA)
1A9503,17223,ALLOY CUSTOM PRODUCTS LLC,,Trailer,UNITED STATES (USA)
1A9505,5491,ABC ENTERPRISES,,Trailer,UNITED STATES (USA)
1A9507,4661,A.A. TRAILER,,Trailer,UNITED STATES (USA)
1A9509,13222,"APPLETON STEEL, INC.",,Trailer,UNITED STATES (USA)
1A9513,12530,AMERICAN STEEL V-TWIN,,Motorcycle,UNITED STATES (USA)
1A9514,2089,AMERICAN TRAILER MFG. CO.,,Trailer,UNITED STATES (USA)
1A9516,12521,"AAPEX TRAILERS, INC.",,Trailer,UNITED STATES (USA)
1A9520,4837,ALKOTA CLEANING SYSTEMS INC,,Trailer,UNITED STATES (USA)
1A9522,1972,AMERICAN AIRPORT SUPPORT & FIRE RESCUE SYSTEMS INC,,Trailer,UNITED STATES (USA)
